username,language
Dmitri Lytov,"[""be-2"", ""sr-1"", ""mk-1"", ""eo-3"", ""bg-1"", ""sv-1"", ""nl-2"", ""es-1"", ""cs-1"", ""uk-N"", ""no-1"", ""fr-1"", ""da-1"", ""pl-1"", ""hr-1"", ""de-3"", ""ru-N"", ""sk-1"", ""it-1"", ""en-3""]"
Dreamy Jazz,"[""en-N"", ""no-2""]"
Drenicaki,"[""sq-2"", ""sr-0"", ""da-2"", ""sv-2"", ""de-1"", ""en-4"", ""no-N""]"
Ectoras,"[""nn-1"", ""de-2"", ""en-4"", ""es-1""]"
EdoAug,"[""da-2"", ""de-1"", ""en-N"", ""nn-2"", ""no-N"", ""sv-2""]"
Eisfbnore,"[""es-1"", ""nl-2"", ""fr-2"", ""no-N"", ""ga-1"", ""af-1"", ""pt-1"", ""it-2"", ""de-2"", ""sv-1"", ""ja-1"", ""en-4"", ""la-2""]"
Elda-Sondre,"[""no-N"", ""de-2"", ""en-3"", ""ja-1""]"
Erik den yngre,"[""nn-N"", ""no-N"", ""de-2"", ""en-5""]"
Evenmu,"[""nn-4"", ""da-2"", ""no-N"", ""de-1"", ""sv-2"", ""en-3"", ""fr-3"", ""it-1""]"
Event,"[""no-N"", ""en-3"", ""ru-0"", ""es-2"", ""sv-2"", ""fr-1"", ""it-1"", ""da-2"", ""nn-3"", ""de-2""]"
F.bendik,"[""en-4"", ""no-N""]"
Ferale,"[""no-N"", ""sv-2"", ""da-2"", ""en-4""]"
Flod logic,"[""da-2"", ""sv-2"", ""de-1"", ""en-N"", ""es-1"", ""fr-1"", ""no-3""]"
Flums,"[""da-1"", ""en-2"", ""nn-2"", ""no-N"", ""sv-1""]"
Frankemann,"[""en-2"", ""no-N""]"
FredrikLindseth,"[""no-N"", ""en-3""]"
Geanixx,"[""nn-2"", ""no-N"", ""ru-1"", ""de-1"", ""en-4""]"
H@r@ld,"[""de-2"", ""sv-2"", ""en-3"", ""zh-1"", ""es-1"", ""fr-1"", ""it-1"", ""da-2"", ""no-N""]"
Haavis,"[""nn-3"", ""no-4"", ""de-1"", ""en-3""]"
Harald Hansen,"[""en-3"", ""lv-1"", ""no-N"", ""sv-2"", ""da-2""]"
Hebue,"[""nn-3"", ""no-N"", ""de-1"", ""en-3""]"
Helt,"[""nn-3"", ""no-N"", ""sv-1"", ""da-1"", ""en-4""]"
Hjarteblendar,"[""no-N"", ""da-1"", ""de-1"", ""en-3"", ""nn-N""]"
Hubba,"[""sv-4"", ""da-1"", ""de-1"", ""en-3"", ""nn-2"", ""no-N""]"
IdaScott,"[""da-2"", ""sv-2"", ""de-1"", ""en-3"", ""is-1"", ""nn-3"", ""no-N""]"
Jjensen,"[""de-2"", ""no-N"", ""el-1"", ""he-1"", ""la-1"", ""da-3"", ""nn-2""]"
Johshh,"[""en-2"", ""nn-3"", ""no-N"", ""se-1""]"
Jon Harald Søby,"[""nn-3"", ""de-2"", ""ro-1"", ""en-4"", ""se-1"", ""eo-1"", ""sv-3"", ""es-1"", ""sw-2"", ""da-2""]"
JonHaaka,"[""en-3"", ""no-N"", ""sv-2""]"
JonasTisell,"[""de-1"", ""en-3"", ""no-N""]"
Jpfagerback,"[""nn-2"", ""no-N"", ""sv-2"", ""da-2"", ""de-1"", ""en-3""]"
Jærv,"[""sv-2"", ""fr-1"", ""is-1"", ""da-2"", ""nl-3"", ""de-0"", ""nn-3"", ""en-3""]"
Kaffedrikkendepinscher,"[""en-4"", ""fr-N"", ""no-3"", ""de-1""]"
Kakebiten,"[""en-4"", ""nn-4"", ""ru-1"", ""da-2"", ""sv-3"", ""de-3""]"
Kimsaka,"[""en-1"", ""nn-1"", ""no-N"", ""sv-1"", ""da-1""]"
Kjersti Lie,"[""it-0"", ""da-2"", ""sv-2"", ""de-1"", ""en-2"", ""fr-1""]"
Kjstensland dy,"[""en-3"", ""da-1"", ""de-1""]"
Krg,"[""en-3"", ""de-1""]"
Kristoffer hh,"[""de-2"", ""en-3"", ""nn-3"", ""no-N""]"
KristofferAG,"[""en-3"", ""fr-1"", ""nn-2"", ""no-N"", ""sv-1"", ""da-1""]"
L0stm3xican,"[""en-N"", ""nn-N"", ""sv-2"", ""da-2""]"
Lillingen,"[""nn-3"", ""no-N"", ""ru-1"", ""da-3"", ""sv-2"", ""de-1"", ""en-3""]"
Magnefl,"[""en-2"", ""es-1"", ""nn-2"", ""no-N"", ""da-2"", ""pt-1"", ""de-1"", ""sv-2""]"
Migrant,"[""nn-1"", ""de-1"", ""en-2""]"
Morten7an,"[""is-3"", ""nn-2"", ""no-N"", ""da-2"", ""sv-2"", ""en-3"", ""fr-1""]"
Mr Democracy,"[""no-N"", ""en-3""]"
Mycomp,"[""en-3"", ""no-2""]"
Nish,"[""da-1"", ""sv-1"", ""de-1"", ""en-2"", ""fr-1"", ""nn-2"", ""no-N""]"
Nsaa,"[""sv-1"", ""da-2"", ""de-1"", ""en-2""]"
Orland,"[""fr-1"", ""no-N"", ""en-3""]"
Oysteinw,"[""nn-2"", ""no-N"", ""sv-1"", ""da-1"", ""de-1"", ""en-2""]"
PatrickSle,"[""en-3"", ""fr-2"", ""nn-3""]"
Pdstud1975,"[""en-3"", ""nn-4"", ""no-N""]"
Pmathisen,"[""en-4""]"
Refleksnes,"[""de-1"", ""en-3"", ""fr-0"", ""nn-2"", ""no-N""]"
SOA,"[""de-2"", ""en-3"", ""nn-3"", ""no-3""]"
Semikolon,"[""nn-N"", ""sv-1"", ""da-1"", ""de-1"", ""en-3""]"
Simny,"[""nn-4"", ""no-N"", ""sv-1"", ""da-1"", ""en-4"", ""fr-3""]"
Skoen,"[""de-1"", ""en-3"", ""nn-4"", ""sv-1"", ""da-1""]"
Spetling,"[""en-4"", ""pl-0""]"
Stigmj,"[""pt-3"", ""sv-2"", ""da-2"", ""en-3"", ""nn-1"", ""no-N""]"
Stikkontakt,"[""no-N""]"
Stoolah,"[""en-3"", ""mt-1"", ""nn-2"", ""sv-2"", ""da-3""]"
Store Stygge Ulven,"[""es-1"", ""nn-N"", ""no-N"", ""de-2"", ""en-4""]"
T-Bjørn,"[""en-2"", ""nn-2"", ""no-N""]"
Tarre10,"[""fr-0"", ""nn-N"", ""no-N"", ""en-4""]"
Telaneo,"[""zh-0"", ""la-0"", ""eo-1"", ""fr-0"", ""bo-0"", ""pl-0"", ""hy-0"", ""bxr-0"", ""ru-2"", ""ja-0"", ""de-1"", ""uk-1"", ""ko-0"", ""en-N""]"
Teodor605,"[""da-3"", ""pt-1"", ""ja-1"", ""de-2"", ""sv-3"", ""la-1"", ""en-4"", ""zh-0"", ""nl-1"", ""es-2"", ""nn-N"", ""fr-2"", ""no-N"", ""it-1""]"
Theilert,"[""fr-1"", ""nn-3"", ""no-N"", ""da-2"", ""sv-3"", ""en-4"", ""es-1""]"
Tinymonty,"[""en-4"", ""nn-N"", ""sv-3"", ""da-2""]"
Tob c,"[""en-4"", ""sv-3"", ""eo-1"", ""fo-3"", ""is-1"", ""da-3"", ""de-2"", ""nn-N""]"
Togr,"[""de-1"", ""en-3"", ""nn-2"", ""no-N""]"
TommyG,"[""en-3"", ""pt-1""]"
TorKr,"[""nn-3"", ""no-4""]"
Toreau,"[""de-1"", ""en-3"", ""nn-3""]"
Trygve W Nodeland,"[""fr-1"", ""no-N"", ""de-2"", ""en-2""]"
Vidariv,"[""sv-2"", ""da-2"", ""en-2"", ""no-N""]"
Vita in motu,"[""en-1"", ""no-N""]"
Walik,"[""no-2"", ""ru-N"", ""uk-N"", ""en-3""]"
Wikijens,"[""nn-1"", ""da-3"", ""de-3"", ""el-3"", ""en-3""]"
